"","V1","V2","V3","V4","V5","V6","V7","V8"
"96",160.1496319,47.35572257,1.82,106.95,1148.08,10021.57,0.559877062,2068.066361
"97",160.0577635,49.54298923,1.73,108.07,1130.2,9920,0.561144469,2406.085862
"98",160.1955661,52.01325593,1.74,108.74,1106.73,10106.13,0.563362431,2419.497385
"99",168.6933954,61.23280018,1.73,108.48,1147.39,10403.94,0.566530948,2586.10241
"100",171.3575797,65.19794427,1.75,108.24,1076.92,9946.22,0.569699466,2596.212271
"101",176.6400142,64.70442202,1.75,106.72,1067.14,9925.25,0.569699466,2653.16638
"102",185.3675145,60.71708963,1.75,105.5,989.82,9243.26,0.570016318,2734.377099
"103",209.0925353,62.20129665,1.73,104.08,911.62,8736.59,0.570650021,2808.748556
"104",208.2197853,65.02242575,1.74,105.31,916.07,8663.5,0.572551132,2647.327879
"105",208.2197853,68.8427669,1.75,105.81,815.28,7591.93,0.573501687,2810.369447
"106",200.0894297,66.910215,1.75,106.57,885.76,8397.03,0.574452243,2898.67827
"107",210.2179235,59.5009007,1.34,105.22,936.31,8896.09,0.574452243,2883.012536
"108",208.2427524,67.00491832,1.24,104.29,879.82,8341.63,0.573184835,2797.745909
"109",208.6735963,71.79298061,1.24,102.92,855.7,8053.81,0.57571965,2890.718446
"110",209.6131391,77.15050087,1.26,103.25,841.15,7891.08,0.580155574,2921.077958
"111",210.2220808,71.01417474,1.25,103.11,848.18,7992.13,0.583640944,3057.490225
"112",221.7088613,60.17736802,1.26,102.1,916.92,8480.09,0.582373537,2991.355872
"113",232.412651,59.4997387,1.26,98.46,963.59,8850.26,0.581422981,3085.71151
"114",229.7749783,63.52737536,1.22,98.45,974.5,8985.44,0.582056685,3109.543224
"115",214.0320525,65.83292847,1.01,99.52,990.31,9233.8,0.582690388,3128.982527
"116",208.2186743,68.94045224,1.03,100.87,1008.01,9415.82,0.584908351,2877.481653
"117",231.6996483,61.95312829,1.01,99.77,995.97,9275.06,0.586809461,3201.824176
"118",268.9878473,65.07869793,1.01,97.48,1050.71,9801.12,0.586175758,3409.505221
"119",279.7210856,65.20067155,1,96.78,1058.2,9782.46,0.584591499,3306.986134
"120",283.1853661,65.60963276,0.98,95.11,1111.92,10453.92,0.583957795,3468.960551
"121",300.8987523,67.62875807,1,93.75,1131.13,10488.07,0.586809461,3379.926295
"122",316.5518102,67.50016504,1.01,94.42,1144.94,10583.92,0.589977979,3530.445706
"123",360.6753604,73.19517793,1,95.67,1126.21,10357.7,0.5937802,3746.916403
"124",363.5045493,74.55052321,1,96.37,1107.3,10225.57,0.59568131,3607.502258
"125",347.8709798,83.06386006,1,98.26,1120.68,10188.45,0.59916668,3587.248051
"126",320.2296963,78.20394311,1.03,97.59,1140.84,10435.48,0.60106779,3739.294629
"127",289.785314,82.81492627,1.26,96.68,1101.72,10139.71,0.600117235,3716.054652
"128",225.7900365,91.88436411,1.43,96.75,1104.24,10173.92,0.600434087,3491.242633
"129",206.447103,91.34849213,1.61,96.19,1114.58,10080.27,0.601701494,3773.346128
"130",193.4337093,101.8551094,1.76,95.04,1130.2,10027.47,0.604870012,3902.960926
"131",195.8176755,89.62921166,1.93,92.4,1173.82,10428.02,0.605186863,4050.338812
"132",198.59095,81.4844389,2.16,90.9,1211.92,10783.01,0.602968901,4030.032368
"133",195.6647955,90.85734731,2.28,91.59,1181.27,10489.94,0.604236308,3843.941799
"134",197.5892468,94.00476474,2.5,91.77,1203.6,10766.23,0.607721677,3882.042794
"135",233.1805307,107.5558395,2.63,91.68,1180.59,10503.76,0.612474454,4207.725928
"136",228.7645265,108.1909193,2.79,92.94,1156.85,10192.51,0.616593527,4136.071156
"137",233.462471,103.1317391,3,93.19,1191.5,10467.48,0.615959823,4037.069616
"138",254.7424019,118.3619534,3.04,94.3,1191.33,10274.97,0.616276675,4076.340454
"139",253.3478115,124.9993914,3.26,94.92,1234.18,10640.91,0.619128341,3947.529456
"140",230.4269317,135.4686082,3.5,93.94,1220.33,10481.6,0.622296858,3968.303105
"141",212.0155233,135.6473122,3.62,94.5,1228.81,10568.7,0.629901301,4230.312304
"142",211.1669188,129.4645462,3.78,95.6,1207.01,10440.07,0.631168708,4187.703398
"143",210.9000895,123.8773525,4,95.56,1249.48,10805.87,0.62609908,4209.52672
"144",216.542872,126.9771258,4.16,94.38,1248.29,10717.5,0.623564265,4195.768246
"145",214.0090877,138.3373968,4.29,93.5,1280.08,10864.86,0.628317042,4164.515752
"146",214.3656466,134.0079128,4.49,93.65,1280.66,10993.41,0.629584449,4209.30723
"147",212.714072,136.9427889,4.59,94.22,1294.87,11109.32,0.633069818,4610.171476
"148",208.9024386,150.8574958,4.79,93.95,1310.61,11367.14,0.638456298,4414.936376
"149",217.3556872,148.6642906,4.94,92.28,1270.09,11168.31,0.641624816,4712.027655
"150",216.5039014,148.7565317,4.99,93.73,1270.2,11150.22,0.642892223,4745.809381
"151",217.2517192,157.5051856,5.24,93.7,1276.66,11185.68,0.644793333,4547.374544
"152",203.8436635,154.9976348,5.25,93.01,1303.82,11381.15,0.64606074,4562.840397
"153",199.3070147,134.6161989,5.25,92.63,1335.85,11679.07,0.642892223,4814.789969
"154",217.8859656,126.4458875,5.25,92.43,1377.94,12080.73,0.639406854,4869.389678
"155",244.0000393,126.052654,5.25,91.31,1400.63,12221.93,0.638456298,4996.837486
"156",243.3075955,129.7190369,5.24,90.24,1418.3,12463.15,0.639406854,4929.22182
"157",255.8673795,115.4251426,5.25,91.44,1438.24,12621.69,0.64135866,4828.282115
"158",278.038611,123.84043,5.26,91.22,1406.82,12268.63,0.644790165,4881.332388
"159",276.9598142,129.2101507,5.26,91.31,1420.86,12354.35,0.650661428,5271.383548
"160",270.3922953,137.7496356,5.25,90.37,1482.37,13062.91,0.654888231,5122.560726
"161",283.2062432,138.0964658,5.25,89.99,1530.62,13627.64,0.658890068,5251.59022
"162",302.8293275,144.7208395,5.25,89.89,1503.35,13408.62,0.660166981,5333.566473
"163",313.476252,154.2030489,5.26,88.51,1455.27,13211.99,0.659999049,5363.208666
"164",309.0065292,147.7433254,5.02,88.47,1473.99,13357.74,0.658788676,5243.088345
"165",347.5615591,159.4496903,4.94,87.2,1526.75,13895.63,0.660604236,5483.277652
"166",358.4028425,169.2714091,4.76,85.32,1549.38,13930.01,0.662017395,5865.594316
"167",389.0151753,184.8728151,4.49,84.03,1481.14,13371.72,0.665949526,5983.175136
"168",423.0807407,183.2203572,4.24,84.42,1468.36,13264.82,0.665502765,5592.951703
"169",461.7152103,184.0682827,3.94,83.9,1378.55,12650.36,0.668810697,5919.754336
"170",508.2158936,189.1978722,2.98,82.75,1330.63,12266.39,0.670752998,6029.930748
"171",495.6908849,200.0727841,2.61,81.49,1322.7,12262.89,0.676567228,6294.963718
"172",482.7913409,213.436954,2.28,81.26,1385.59,12820.13,0.680670458,6533.728518
"173",489.0892668,243.2771039,1.98,81.88,1400.38,12638.32,0.686402307,6334.403675
"174",552.4721493,261.2299835,2,82.4,1280,11350.01,0.693319181,6504.726106
"175",554.1492765,261.158714,2.01,81.91,1267.38,11378.02,0.696959807,6703.548713
"176",471.0673568,231.9612805,2,83.56,1282.83,11543.96,0.694177849,5985.902956
